"","Study.Accession.Numbers","Title","Abstract","Library.Construction.Protocol","Matched.Runs","Total.Runs","Fraction.of.Runs","Matched.Run.Accession.Numbers"
"1","SRP001696","modENCODE D. melanogaster Total RNA-Seq","These data were produced for the modENCODE project (http://www.modencode.org/). For a description of the protocols and other experimental details please refer to the data distribution site http://www.modencode.org/Celniker.shtml. In accordance with NHGRI guidelines for community resource projects (http://www.genome.gov/), there is no restriction on the use or analysis of these data. However, the end-user is asked to respect a nine-month moratorium (from the public submission date) before submitting manuscripts describing analysis of these data. If the data producer has published any description of these data before the nine-month period, the moratorium ceases to apply and this accession page will be updated to note the appropriate citation.",NA,6,256,"0.023","SRR1197471, SRR1197410, SRR1197279, SRR1197277, SRR1197449, SRR1197455"
"2","SRP005712","Drosophila melanogaster strain:y; cn bw sp Transcriptome or Gene expression","RNA-seq analysis was performed on poly(A)  RNA from D. melanogaster treated with various chemicals through feeding, subjected to temperature shock, or exposure to viruses. Total RNA was isolated by the Peter Cherbas group. Isolation of poly(A)  RNA and strand-specific library construction were performed in the Brenton Graveley lab. Libraries were distributed among 3 labs in the Drosophila Transcriptome group for sequencing (Celniker, Gingeras, and Graveley) for paired-end RNA sequencing (2x76  nt) on the GAIIx and HiSeq platforms. Fastq files were generated using pipeline version 1.5. Reads were aligned to the genome and a splice-junction database using Bowtie 0.12.0-beta1 and SPA5.pl (to identify only uniquely-mapped reads).",NA,5,56,"0.089","SRR1509515, SRR1509516, SRR1509517, SRR1509510, SRR1509507"
"3","SRP015758","Genome-wide quantitative enhancer activity maps identified by STARR-seq","Genomic enhancers are important regulators of gene expression, but their identification is a challenge and methods depend on indirect measures of activity. We developed a method termed STARR-seq to directly and quantitatively assess enhancer activity for millions of candidates from arbitrary sources of DNA, enabling screens across entire genomes. When applied to the Drosophila genome, STARR-seq identifies thousands of cell type-specific enhancers across a broad continuum of strengths, linking differential gene expression to differences in enhancer activity and creating a genome-wide quantitative enhancer map. This map reveals the highly complex regulation of transcription, with several independent enhancers for both developmental regulators and ubiquitously expressed genes. STARR-seq can be used to identify and quantitate enhancer activity in other eukaryotes, including human. Overall design: STARR-seq was performed in S2 and OSC cells with paired-end sequencing in two replicates and respective inputs. DHS-seq was done with single-end sequencing in two replicates for S2 and OSC cells. RNA-seq was performed with a strand-specific protocol using single-end sequencing in two replicates within S2 and OSC cells. STARR-seq was also performed in HeLa cells with single-end sequencing with a respective input.",NA,2,18,"0.111","SRR569916, SRR569915"
"4","SRP016875","Transcriptional silencing of transposable elements by Piwi and its impact on chromatin and gene expression","Eukaryotic genomes are colonized by transposable elements whose uncontrolled activity results in genomic instability. The piRNA pathway silences transposons in animal gonads, yet how this is achieved molecularly remains controversial. We assign an essential role to the HMG protein Maelstrom in the process of Piwi mediated silencing in Drosophila. Genome wide assays revealed highly correlated changes in RNA Polymerase II recruitment, nascent RNA output and steady state RNA levels of transposons upon loss of Piwi or Maelstrom. Our data demonstrate piRNA-mediated trans- silencing of hundreds of transposon copies at the transcriptional level. We show that Piwi is required for establishing heterochromatic H3K9me3 marks on transposons and their genomic surrounding. In contrast, loss of Maelstrom impacts transposon H3K9me3 patterns only marginally yet leads to increased heterochromatin spreading, suggesting that Maelstrom acts downstream of or in parallel to H3K9me3. Our work uncovers the widespread influence of transposons and the piRNA pathway on chromatin patterns and gene expression programs. Overall design: RNA Polymerase II and H3K9me3 occupancy, and steady-state and nascent RNA levels in wild-type ovarian somatic cells (OSC) and RNAi knock-downs of the piRNA pathway components. RNA Polymerase II occupancy in tissue-specific knockdowns of tejas (control) and armi in somatic cells of Drosophila ovary.",NA,4,32,"0.125","SRR609669, SRR609671, SRR609668, SRR609670"
"5","SRP020645","The genetic framework of the Drosophila piRNA pathway","The animal piRNA pathway is a small RNA silencing system that acts in gonads and protects the genome against the deleterious influence of transposons. A major bottleneck in the field is the lack of comprehensive knowledge of the factors and molecular processes that constitute this pathway. We conducted an RNAi screen in Drosophila and identified ~50 genes that strongly impact the ovarian somatic piRNA pathway. Many identified genes fall into functional categories that indicate essential roles for mitochondrial metabolism, RNA export, the nuclear pore, transcription elongation and chromatin regulation in the pathway. Follow-up studies on two factors demonstrate the identification of components acting at distinct hierarchical levels of the pathway. Finally, we define CG2183/Gasz as a novel primary piRNA biogenesis factor in somatic and germline cells. Based on the similarities between insect and vertebrate piRNA pathways our results have far-reaching implications for the understanding of this conserved genome defense system. Overall design: Steady-state RNA levels in wild-type ovarian somatic cells (OSC) and RNAi knock-downs of the piRNA pathway components.",NA,1,6,"0.167","SRR823323"
"6","SRP026619","Drosophila Gtsf1 is an essential component of the Piwi mediated transcriptional silencing complex","The PIWI interacting RNA pathway is a small RNA silencing system that keeps selfish genetic elements such as transposons under control in animal gonads. Several lines of evidence indicate that nuclear PIWI family proteins guide transcriptional silencing of their targets, yet the composition of the underlying silencing complex is unknown. Here we demonstrate that the double CHHC zinc finger protein Gtsf1 is an essential factor for Piwi mediated transcriptional repression in Drosophila. Cells lacking Gtsf1 contain nuclear Piwi loaded with piRNAs, yet Piwi''s silencing capacity is ablated. Gtsf1 interacts stably with a sub-population of nuclear Piwi and loss of Gtsf1 phenocopies loss of Piwi in terms of deregulation of transposons, loss of H3K9me3 marks at euchromatic transposon insertions and deregulation of genes in proximity to repressed transposons. We propose that only a small fraction of nuclear Piwi interacts productively with a target RNA, resulting in assembly of a silencing complex with Gtsf1 as one core component. Overall design: impact of loss of DmGtsf1 on transcription and H3K9m3 in ovarian somatic cells (OSC)","RNA-seq as in Zhong et al. 2011 ChIP-seq as described in Lee et al. 2006 small-RNAs were cloned as described in Brennecke et al. 2007",2,10,"0.200","SRR927180, SRR927153"
"7","SRP028120","Stable pausing by RNA polymerase II provides an opportunity to target and integrate regulatory signals","Metazoan gene expression is often regulated after the recruitment of RNA polymerase II (Pol II) to promoters, through the controlled release of promoter-proximally paused Pol II into productive RNA synthesis. Despite the prevalence of paused Pol II, very little is known about the dynamics of these early elongation complexes or the fate of short transcription start site-associated (tss) RNAs they produce. Here, we demonstrate that paused elongation complexes can be remarkably stable, with half-lives exceeding 15 minutes at genes with inefficient pause release. Promoter-proximal termination by Pol II is infrequent and released tssRNAs are targeted for rapid degradation. Further, we provide evidence that the predominant tssRNA species observed are nascent RNAs held within early elongation complexes. We propose that stable pausing of polymerase provides a temporal window of opportunity for recruitment of factors to modulate gene expression and that the nascent tssRNA represents an appealing target for these interactions. Overall design: This submission includes 13 raw data files. Four samples (chromatin, soluble, mock-treated, and Rrp40-depleted) are represented by two biological replicate raw data files, while five samples (cells, DMSO, FP, mock-treated + FP, and Rrp-40depleted + FP) are represented by single raw data files.","Total RNA was extracted from nuclei, whole cells, or fractionated cells as indicated using Trizol reagent (Invitrogen). Liibraries were prepared for 3â€™ scRNA-sequencing as described in (Nechaev et al., Science 2010).",5,13,"0.385","SRR941891, SRR941893, SRR941890, SRR941892, SRR941881"
"8","SRP031477","Transcriptome and proteome quantification of a tumor model provides novel insights into post-transcriptional gene regulation","Genome-wide transcriptome analyses have allowed for systems-  level insights into gene regulatory networks. Due to the limited depth of   quantitative proteomics, however, our understanding of post-transcriptional   gene regulation and its effects on protein complex stoichiometry are lagging   behind.   Here, we employ deep sequencing and iTRAQ technology to determine transcript   and protein expression changes of a Drosophila brain tumour model at near   genome-wide resolution. In total, we quantify more than 6,200 tissue-specific   proteins, corresponding to about 70% of all transcribed protein-coding genes.   Using our integrated data set, we demonstrate that post-transcriptional gene   regulation varies considerably with biological function and is surprisingly   high for genes regulating transcription. We combine our quantitative data with   protein-protein interaction data and show that post-transcriptional mechanisms   significantly enhance co-regulation of protein complex subunits beyond   transcriptional co-regulation. Interestingly, our results suggest that only   about 11% of the annotated Drosophila protein complexes are co-regulated in   the brain. Finally, we refine the composition of some of these core protein   complexes by analysing the co-regulation of potential subunits.  Our comprehensive transcriptome and proteome data provide a rich resource for   quantitative biology and offer novel insights into understanding post-  transcriptional gene regulation in a tumour model. Overall design: Transcriptomes of 1-3 day old adult female Drosophila melanogaster heads of control and brat mutant were generated by deep sequencing, in triplicate, using Illumina GAIIx.","Total RNA was isolated from adult fly heads by TRIzol purification (Invitrogen) Total RNA(~1Âµg) was enriched for polyA mRNA (Dynabeads, Invitrogen), fragmented and first strand and second strand (dUTP, instead dTTP was used) was generated. Library preparation was done using a modified protocol from Illumina with NEBNext DNA sample Prep Reagent kits (NEB), and UGDase treatment was done to confer strand specificity.",1,6,"0.167","SRR1013351"
"9","SRP040008","The Rhino-Deadlock-Cutoff complex licenses non-canonical transcription of dual-strand piRNA clusters in Drosophila","Argonaute proteins of the PIWI clade are central to transposon silencing in animal gonads. Their target specificity is defined by 22-30nt PIWI interacting RNAs (piRNAs), which mostly originate from discrete genomic loci termed piRNA clusters. Here we show that the RDC complex composed of Rhino, Deadlock and Cutoff defines dual-strand piRNA clusters genome-wide in Drosophila ovaries. The RDC complex is anchored to H3K9me3-marked chromatin in part via Rhinoâ€™s chromo-domain. Depletion of Piwi results in loss of the RDC and small RNAs at euchromatic piRNA source loci, demonstrating a feedback loop between Piwi and genomic piRNA sources. Intriguingly, profiles of RNA Polymerase II occupancy, nascent transcription and steady-state RNA levels reveal that the RDC licenses non-canonical transcription of dual-stranded piRNA clusters. Likely, this process involves 5â€™end protection of nascent RNAs and subsequent suppression of transcription termination. Together, our data provide a comprehensive model for the regulation and evolution of piRNA clusters. Overall design: This study aims at indentifying and characterizing genimc sources of piRNA percursour transcripts using genome-wide apporaches such as ChIP-seq, RNA-seq, smallRNA-seq and GRO-seq in adult Drosophila ovaries depleted for several factors implicated in piRNA cluster regulation","c(""Cap-seq was performed according to Nachaev et al, Science, 2010 and Gu et al, Cell, 2013 Purified Capped RNA fragments were ligated with 3' and 5' linkers. 1st strand cDNA synthesis was performed using SuperScript III (Invitrogen) and the library was amplified using the Kapa HiFi Library Amp real time Kit (Peqlab) with Illumina TruSeq compatible primers."", ""ChIP-seq was performed according to Lee et al, Nat Protoc, 2006 ChIP-seq libraries were generated using the NEBNext Ultra DNA Library Prep Kit for Illumina (NEB) and the Kapa HiFi Library Amp Real-Time Kit (Peqlab) for amplification."", 
""GRO-seq was performed according to Shpiz and Kalmykova, Piwi-Interacting RNAs: Methods and Protocols, 2013 and Core et al, Science, 2008 Purified and fractionated GRO fragments were ligated with 3' and 5' linkers. 1st strand cDNA synthesis was performed using SuperScript III (Invitrogen) and the library was amplified using the Kapa HiFi Library Amp real time Kit (Peqlab) with Illumina TruSeq compatible primers."", ""RNA-seq was performed according to Zhang et al, Silence, 2012 Total RNA was extracted using Trizol and depleted for ribosomal RNA (Ribo-Zero Kit, Epicentre). For 2nd strand synthesis, dUTP was added to generate stranded libraries using the NEBNext Ultra DNA Library Prep Kit for Illumina (NEB). The Kapa HiFi Library Amp Real-Time Kit (Peqlab) with Illumina TruSeq compatible primers was used to amplify the library."", 
""smallRNA cloning was performed according to Brennecke et al, Cell, 2007 small RNAs were PAGE selected and 3' and 5' linkers was ligated. 1st strand cDNA synthesis was performed using SuperScript III (Invitrogen) and the library was amplified using the Kapa HiFi Library Amp real time Kit (Peqlab) with Illumina TruSeq compatible primers."")",1,36,"0.028","SRR1187955"
"10","SRP042020","The exon junction complex controls transposable element activity by ensuring the faithful splicing of the piwi transcript","The exon junction complex (EJC) is a highly conserved ribonucleoprotein complex which binds RNAs at a late stage of the splicing reaction and remains associated following export to the cytoplasm. This complex is involved in several cellular post-transcriptional processes including mRNA localization, translation and degradation. The EJC plays an additional role in the splicing of a subset of genes in Drosophila and in human cells but the underlying mechanism remains to be elucidated. Here, we have found a novel function for the EJC and its splicing subunit RnpS1 in preventing transposon accumulation in both Drosophila germline and surrounding follicular cells. This function is mediated specifically through the control of the splicing of the piwi transcript. In absence of RnpS1 one of the piwi intron is retained. This intron contains a weak 5â€™ splice site as well as degenerate transposon fragments, reminiscent of heterochromatic introns. In addition, we identified a small A/T rich region, which alters its polypyrimidine tract (PPT) and confers the RnpS1â€™s dependency. Finally, we showed that the removal of this intron by RnpS1 requires the initial splicing of the flanking introns, suggesting a model in which the EJC facilitates the splicing of challenging introns following its initial deposition to adjacent exon junctions. Overall design: In total there are 4 different conditions. Comparisons were made between piwi mutant vs control piwi and rnps1 KD vs controls RnpS1","Ovaries were dissected, flash frozen in liquid nitrogen, and RNAs were harvested using Trizol reagent. Ribosomal RNAs were depleted using two rounds of Epicentre Ribo-Zero magnetic beads. Illumina TruSeq RNA Sample Prep Kit  was used with 1 ug of total RNA for the construction of sequencing libraries. RNA libraries were prepared for sequencing using a custom strand specific RNA-seq protocol",2,8,"0.250","SRR1288434, SRR1288435"
"11","SRP043576","The exon junction complex is required for definition and excision of neighboring introns in Drosophila","Splicing of pre-mRNAs results in the deposition of the exon junction complex (EJC) upstream of exon-exon boundaries. The EJC plays crucial post-splicing roles in export, translation, localization and nonsense-mediated decay of mRNAs. It also aids faithful splicing of pre-mRNAs containing large introns, albeit via an unknown mechanism. Here, we show that the core EJC plus the accessory factors RnpS1 and Acinus aid in definition and efficient splicing of neighboring introns. This requires prior deposition of the EJC in close proximity either from an upstream or downstream splicing event. If present in isolation, EJC-dependent introns are splicing-defective also in wildtype cells. Interestingly, the most affected intron belongs to the piwi locus, which explains the reported transposon de-silencing in EJC-depleted Drosophila ovaries. We propose that the dependency of splicing on the EJC is exploited as a means to control the temporal order of splicing events. Our observations provide a powerful basis to dissect the molecular events that underlie the role of the EJC in splicing. Overall design: Analysis of splicing defects in 3 knockdowns (siGFP [control], siACN, siTSU) in Drosohpila OSCs. PolyA RNA (biological duplicates) and total-RNA was sequenced on a Illumina HiSeq2000 in PE50 mode.","c(""mRNA from siRNA transfected OSCs was selected with Dynabeads Oligo(dT) (Invitrogen) from total RNA, fragmented and reverse transcribed with random hexamers. Strand-specific libraries were prepared using the UDG-digestion-based strategy and cloned with NEBNextÂ® Ultraâ„¢ DNA Library Prep Kit for Illumina (NEB) total RNA was isolated with Trizol see in the SAMPLES section"", ""total RNA was depleted of rRNA by RiboZero, fragmented and reverse transcribed with random hexamers. Strand-specific libraries were prepared using the UDG-digestion-based strategy and cloned with NEBNext ChIP-Seq Library Prep Reagent Set for Illumina (NEB) total RNA was isolated with Trizol see in the SAMPLES section""
)",6,9,"0.667","SRR1462143, SRR1462145, SRR1462144, SRR1462137, SRR1462136, SRR1462140"
